mission_id,lat,lon,start,goal,cheb_dist,opt_reachable,opt_energy,opt_steps,mars_rover_ppo_best_success,mars_rover_ppo_best_fail_mode,mars_rover_ppo_best_steps,mars_rover_ppo_best_energy_used,mars_rover_ppo_best_energy_left,mars_rover_ppo_best_hazard_hits,mars_rover_ppo_best_efficiency_pct,mars_rover_ppo_best_extra_steps,mars_rover_ppo_old_success,mars_rover_ppo_old_fail_mode,mars_rover_ppo_old_steps,mars_rover_ppo_old_energy_used,mars_rover_ppo_old_energy_left,mars_rover_ppo_old_hazard_hits,mars_rover_ppo_old_efficiency_pct,mars_rover_ppo_old_extra_steps
841,-58.886,-29.749,"[17, 0]","[0, 11]",17,True,61.84,17,True,,17,63.67,36.33,3,97.1,0,True,,17,73.54,26.46,3,84.1,0
842,24.483,22.374,"[16, 0]","[12, 18]",18,True,43.56,18,True,,18,43.56,56.44,0,100.0,0,True,,22,88.12,11.88,5,49.4,4
843,34.825,173.578,"[8, 0]","[16, 19]",19,True,22.31,19,True,,19,22.31,77.69,0,100.0,0,True,,19,24.8,75.2,0,90.0,0
844,20.556,123.906,"[15, 7]","[1, 16]",14,True,20.56,14,True,,14,20.56,79.44,0,100.0,0,True,,14,21.38,78.62,0,96.1,0
845,6.674,-177.259,"[9, 3]","[13, 18]",15,True,16.66,15,True,,15,16.66,83.34,0,100.0,0,True,,15,19.14,80.86,0,87.0,0
846,12.501,154.637,"[15, 0]","[19, 19]",19,True,46.7,19,False,energy_exhausted,71,100.0,0.0,0,,,True,,19,51.01,48.99,2,91.5,0
847,-13.009,121.677,"[2, 13]","[17, 14]",15,True,47.38,15,True,,15,49.87,50.13,1,95.0,0,True,,15,57.33,42.67,1,82.7,0
848,38.796,14.66,"[16, 0]","[18, 16]",16,True,35.83,16,True,,16,37.56,62.44,0,95.4,0,True,,16,42.77,57.23,0,83.8,0
849,31.611,-69.039,"[2, 12]","[17, 12]",15,True,43.9,15,True,,17,48.7,51.3,0,90.1,2,True,,15,53.33,46.67,0,82.3,0
850,-42.818,-110.427,"[11, 18]","[18, 3]",15,True,37.04,15,True,,17,38.38,61.62,0,96.5,2,True,,15,49.5,50.5,1,74.8,0
851,0.715,30.502,"[18, 0]","[6, 14]",14,True,23.56,16,True,,17,27.97,72.03,0,84.2,1,True,,15,27.21,72.79,0,86.6,-1
852,-39.419,-112.388,"[15, 5]","[10, 19]",14,True,44.28,14,True,,17,49.97,50.03,0,88.6,3,True,,16,64.15,35.85,2,69.0,2
853,-32.299,148.629,"[13, 16]","[18, 1]",15,True,27.14,16,True,,16,38.38,61.62,1,70.7,0,True,,15,43.77,56.23,2,62.0,-1
854,-54.363,-81.051,"[2, 0]","[10, 14]",14,True,38.94,14,True,,19,48.53,51.47,0,80.2,5,True,,14,47.84,52.16,0,81.4,0
855,-29.896,130.377,"[1, 7]","[18, 3]",17,True,43.28,17,True,,18,45.7,54.3,0,94.7,1,True,,18,52.08,47.92,2,83.1,1
856,-3.846,-88.129,"[14, 3]","[17, 17]",14,True,30.66,14,True,,14,34.38,65.62,4,89.2,0,True,,14,40.77,59.23,5,75.2,0
857,56.898,-161.371,"[7, 0]","[10, 15]",15,True,40.07,15,True,,15,45.28,54.72,0,88.5,0,True,,16,57.15,42.85,1,70.1,1
858,5.925,101.776,"[9, 18]","[9, 3]",15,True,15.83,15,True,,15,16.66,83.34,0,95.0,0,True,,15,20.8,79.2,0,76.1,0
859,-52.617,55.248,"[2, 13]","[18, 1]",16,True,53.43,16,True,,17,54.01,45.99,0,98.9,1,True,,16,57.33,42.67,1,93.2,0
